INCIDENT_MONTH,INCIDENT_YEAR,TIME,HEIGHT,SPEED
4,2007,,,150
4,2007,1230,,160
4,2007,1700,,
4,2007,1341,2500,170
4,2007,915,,130
4,2007,542,2600,180
4,2007,,,150
4,2007,1334,400,
4,2007,1530,500,120
4,2007,2035,11000,310
3,2007,,,
3,2007,,,
3,2007,,,
3,2007,2120,,190
3,2007,1030,200,
3,2007,,,
3,2007,,2500,
3,2007,220,,
2,2007,,,
2,2007,,,
2,2007,636,0,
2,2007,,200,120
2,2007,,250,65
1,2007,1640,,
1,2007,1232,5,85
1,2007,,,
1,2007,1315,520,
1,2007,1555,,
12,2006,,,
12,2006,,,
12,2006,2030,1500,145
12,2006,,,
12,2006,,,
12,2006,,,
11,2006,1200,1000,150
11,2006,1000,0,140
11,2006,,,
11,2006,1640,,
11,2006,130,0,90
11,2006,,,
10,2006,,,
10,2006,,,
10,2006,1900,4200,
10,2006,1730,300,
10,2006,,200,150
10,2006,2140,,
10,2006,,7000,
10,2006,2108,3200,130
10,2006,,2000,239
10,2006,1913,100,
10,2006,2250,0,130
10,2006,,,
9,2006,,,
9,2006,2300,,
9,2006,1215,300,140
9,2006,,0,110
9,2006,1128,,
9,2006,,1500,90
9,2006,,,
9,2006,1030,50,128
9,2006,,,
9,2006,2115,2500,210
9,2006,,,
8,2006,920,0,
8,2006,1,,
8,2006,,,
8,2006,1205,0,
8,2006,,,
8,2006,,,
8,2006,912,0,
8,2006,,,
8,2006,1110,0,
8,2006,,,
8,2006,,,
8,2006,1943,0,
8,2006,1150,,
7,2006,1318,,
7,2006,,200,65
7,2006,1305,100,
7,2006,,0,
